Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
74;198543;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;199194;488054784;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;193563;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;203302;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;196809;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;202430;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;199645;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;188965;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;194855;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;195788;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;217037;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;205365;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;198994;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;241983;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;198783;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;213470;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;200065;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;1404975;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;751128;488841216;8228864;429379584;507742;0;0;0;0;0;0;0;0;0;0;1242;0;0;0;0;0;0;0;0;
93;217718;488841216;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;191469;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;189636;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;200376;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;205536;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;192741;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;195296;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;202290;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;192471;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;199615;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;198533;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;193393;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;200686;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;196268;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;197000;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;193543;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;196148;489639936;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;190998;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;244007;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;222027;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;195176;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;192751;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;183544;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;236504;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;214632;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;192671;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;186600;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;189706;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
121;204584;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
122;201498;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
123;207168;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
124;209413;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
125;223580;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
126;234059;490139648;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
127;222868;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
128;224331;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
129;216766;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
130;231584;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
131;229620;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
132;225083;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
133;220965;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
134;228468;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
135;224061;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
136;223349;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
137;221295;490409984;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
138;253164;490680320;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
139;235702;490680320;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140;223038;490680320;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
141;228388;490680320;8228864;429379584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
142;260319;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
143;232627;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
144;224270;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
145;228739;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
146;1836775;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
147;237415;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
148;228218;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
149;215093;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150;212478;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151;212929;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
152;229360;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
153;964729;490680320;10993664;432144384;712416;0;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;0;0;0;0;
154;216977;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
155;211085;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
156;211517;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
157;213260;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;222708;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;215815;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160;219571;490680320;10993664;432144384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
