Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
86;217779;488427520;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;201568;488857600;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;1387622;488857600;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;700584;489656320;9723904;430874624;460133;0;0;0;0;0;0;0;0;0;0;1373;0;0;0;0;0;0;0;0;
90;208331;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;189586;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;198763;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;194414;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;189075;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;201097;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;191769;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;203091;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;196629;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;195677;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;213029;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;201157;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;199414;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;193392;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;201498;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;201878;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;203742;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;195166;489656320;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;192702;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;269405;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;203722;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;188353;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;182312;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;186189;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;260819;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;204444;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;192922;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;187852;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;200205;490156032;9723904;430874624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
