Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
18737,3548245,20509769728,40198144,48093974528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18738,3691573,20509769728,40198144,48093974528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18739,4322997,20509765632,40194048,48093970432,2337784,0,567394,0,0,0,0,0,0,0,0,4859,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18740,3994952,20522946560,40194048,48093970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18741,13259055,20570255360,40194048,48093970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18742,11413194,20603310080,40194048,48093970432,7958085,0,525866,0,0,0,0,0,0,0,0,3076,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18743,7681085,20628393984,40194048,48093970432,3372004,0,525335,0,0,0,0,0,0,0,0,2976,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18744,3191586,20662812672,40194048,48093970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18745,2007515,20670787584,40194048,48093970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18746,4043704,20680638464,40194048,48110747648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18747,3786371,20680908800,40194048,48110747648,2663035,0,521668,0,0,0,0,0,0,0,0,3246,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18748,3882731,20710600704,40194048,48110747648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18749,3395377,20714795008,40194048,48127524864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18750,1353960,20714790912,40189952,48127520768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18751,3673218,20714790912,40189952,48127520768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18752,5131714,20714790912,40189952,48127520768,2469031,0,878197,0,0,0,0,0,0,0,0,3737,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18753,4329520,20756627456,40189952,48127520768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18754,4438744,20761628672,40194048,48144302080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18755,3723262,20761628672,40194048,48144302080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18756,4357823,20761628672,40194048,48144302080,2380224,0,879950,0,0,0,0,0,0,0,0,4118,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18757,4184617,20791095296,40194048,48161079296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18758,4112472,20795617280,40194048,48177856512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18759,4031139,20799811584,40194048,48177856512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
18760,4308740,20799811584,40194048,48177856512,2434205,0,891111,0,0,0,0,0,0,0,0,4147,0,0,1152.0,2232.0,0.0,89.0,0.0,100.0
