Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
13295,941626,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13296,3568041,603815936,26877952,701784064,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13297,1304327,603815936,26877952,701784064,619933,0,25307,0,0,0,0,0,0,2224,1728.0,3348.0,0.0,76.0,0.0,1.0
13298,3589993,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13299,712796,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13300,2995798,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13301,867016,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13302,3337429,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13303,1027768,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13304,3740725,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13305,1436824,608010240,26877952,718561280,704692,0,30217,0,0,0,0,0,0,2945,1728.0,3348.0,0.0,76.0,0.0,1.0
13306,3119941,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13307,777007,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13308,3597908,608010240,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13309,1680271,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13310,3594060,608010240,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
