Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
732662705.0,117311395459.0,622486714216448.0,935663878144.0,1180495747842048.0,31918194019.0,744646.0,5002513932.0,0.0,15844814248.0,6663684.0,761583409.0,13665861696.0,13039200599.0,626530266.0,1402782565.0,31599916.0,0.0,0.0,97584000.0,189069000.0,0.0,2561552.0,0.0,1626400.0,pareto-activeLogic_5-Layer_10x_6z_80p_120s.csv,20330,10,6,True,300,80,120,5-Layer
725276361.0,117394619907.0,729915608997888.0,1189242519552.0,1432041784336384.0,27233913832.0,0.0,6947903665.0,0.0,7214196344.0,3080661.0,746218372.0,5807934411.0,5591491810.0,216347898.0,651910309.0,32542933.0,0.0,0.0,65612160.0,127123560.0,0.0,2027598.0,0.0,2733840.0,pareto-activeLogic_5-Layer_6x_6z_120p_120s.csv,22782,6,6,True,180,120,120,5-Layer
538549935.0,113949287285.0,798920769638400.0,960921026560.0,1592089984114688.0,36315545866.0,0.0,8935243753.0,0.0,10566584087.0,4649823.0,1246230738.0,8435250982.0,8061604681.0,373550808.0,873304090.0,28934870.0,0.0,0.0,49956480.0,96790680.0,0.0,1665216.0,0.0,2775360.0,pareto-activeLogic_5-Layer_6x_6z_160p_120s.csv,17346,6,6,True,180,160,120,5-Layer
408663277.0,114804248881.0,806712634105856.0,788929728512.0,1585084218519552.0,45446677704.0,0.0,11327272771.0,0.0,11073506435.0,4626702.0,1298945751.0,8855833870.0,8500970645.0,354743899.0,906196901.0,29715587.0,0.0,0.0,39841920.0,77193720.0,0.0,1314230.0,0.0,2766800.0,pareto-activeLogic_5-Layer_6x_6z_200p_120s.csv,13834,6,6,True,180,200,120,5-Layer
979889625.0,116660142282.0,321814434390016.0,1280739332096.0,661755174129664.0,12010858982.0,0.0,1857625644.0,0.0,2439116984.0,1645176.0,137050653.0,2026380886.0,1933339772.0,93003156.0,271594683.0,32203369.0,0.0,0.0,92664000.0,179536500.0,0.0,2863575.0,0.0,1287000.0,pareto-activeLogic_5-Layer_6x_6z_40p_120s.csv,32175,6,6,True,180,40,120,5-Layer
818168930.0,116965520721.0,548661272043520.0,1245580201984.0,1087792245493760.0,19005808974.0,0.0,4346425087.0,0.0,3885705839.0,2143058.0,281455958.0,3162197191.0,3024071730.0,138081068.0,433665807.0,35538276.0,0.0,0.0,75283200.0,145861200.0,0.0,2326460.0,0.0,2091200.0,pareto-activeLogic_5-Layer_6x_6z_80p_120s.csv,26140,6,6,True,180,80,120,5-Layer
612355572.0,115676291202.0,706400572391424.0,1004789682176.0,1520692585783296.0,41378650545.0,663094.0,7484978649.0,0.0,16901740990.0,7512088.0,2207867483.0,13403676674.0,12814289280.0,589218542.0,1272355011.0,29199180.0,0.0,0.0,56982240.0,110403090.0,0.0,2189808.0,0.0,2035080.0,pareto-activeLogic_5-Layer_7x_6z_120p_120s.csv,16959,7,6,True,210,120,120,5-Layer
447790185.0,116433662765.0,711509162778624.0,782975279104.0,1530635763683328.0,56332484255.0,1263359.0,9632250899.0,0.0,22922774817.0,9101162.0,5130237914.0,16064388856.0,15309512191.0,754688697.0,1705929806.0,26603747.0,0.0,0.0,41479200.0,80365950.0,0.0,1633325.0,0.0,1975200.0,pareto-activeLogic_5-Layer_7x_6z_160p_120s.csv,12345,7,6,True,210,160,120,5-Layer
39645683.0,115384789922.0,86036529168384.0,89223532544.0,194300611772416.0,95782490900.0,3109841.0,6317529369.0,0.0,34241999935.0,17026769.0,1138933510.0,29865649047.0,28610447757.0,1254780361.0,3195529139.0,11942078.0,0.0,0.0,4398240.0,8521590.0,0.0,168453.0,0.0,261800.0,pareto-activeLogic_5-Layer_7x_6z_200p_120s.csv,1309,7,6,True,210,200,120,5-Layer
1189768817.0,116836270464.0,389299141881856.0,1483962785792.0,849080781922304.0,13876801242.0,0.0,2192342476.0,0.0,3868303816.0,2549170.0,214512821.0,3314501428.0,3144580205.0,169866224.0,333340882.0,30862684.0,0.0,0.0,99768480.0,193301430.0,0.0,3711625.0,0.0,1187720.0,pareto-activeLogic_5-Layer_7x_6z_40p_120s.csv,29693,7,6,True,210,40,120,5-Layer
