Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
19109,3091988,13138796544,18518016,42946850816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19110,6456478,13139296256,18518016,42946850816,2620515,0,799400,0,0,0,0,0,0,0,0,5351,0,0,0.0,89.0,0.0,90.0
19111,3994301,13147930624,39739392,42984849408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19112,1352727,13147930624,39739392,42984849408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19113,3800487,13147930624,39739392,42984849408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19114,5686044,13147930624,39739392,42984849408,2567095,0,792686,0,0,0,0,0,0,0,0,5149,0,0,0.0,89.0,0.0,90.0
19115,4329520,13148712960,39739392,42984849408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19116,3042416,13152907264,39739392,43001626624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19117,3754892,13152907264,39739392,43001626624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19118,4847561,13153157120,39735296,43001622528,2442330,0,803918,0,0,0,0,0,0,0,0,5660,0,0,0.0,89.0,0.0,90.0
19119,4339999,13158076416,39735296,43018399744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19120,2958438,13153632256,18518016,42997182464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19121,3768727,13153632256,18518016,42997182464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19122,4729229,13153632256,18518016,42997182464,2355678,0,793609,0,0,0,0,0,0,0,0,5220,0,0,0.0,89.0,0.0,90.0
19123,4254970,13157842944,18518016,42997182464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19124,7077493,13176061952,39739392,43051958272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19125,3804455,13176061952,39739392,43051958272,2413536,0,821291,0,0,0,0,0,0,0,0,4689,0,0,0.0,89.0,0.0,90.0
19126,4332005,13189693440,39739392,43102289920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19127,3163202,13194137600,39739392,43119067136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19128,3819713,13198331904,39739392,43135844352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19129,2278974,13198331904,39739392,43135844352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19130,6378722,13203050496,39739392,43169398784,2500059,0,796664,0,0,0,0,0,0,0,0,4789,0,0,0.0,89.0,0.0,90.0
19131,3779007,13212495872,39739392,43186176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19132,1404213,13212495872,39739392,43186176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19133,3768718,13212495872,39739392,43186176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19134,5628796,13212495872,39739392,43186176000,2541376,0,796654,0,0,0,0,0,0,0,0,5260,0,0,0.0,89.0,0.0,90.0
19135,4430218,13225873408,39739392,43236507648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19136,3232813,13230067712,39739392,43253284864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19137,1298255,13230067712,39739392,43253284864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19138,3765983,13230067712,39739392,43253284864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19139,5538527,13230067712,39739392,43253284864,2509726,0,804679,0,0,0,0,0,0,0,0,4819,0,0,0.0,89.0,0.0,90.0
19140,4337274,13238706176,39739392,43286839296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19141,3659292,13242900480,39739392,43303616512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19142,1364199,13242900480,39739392,43303616512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19143,6303963,13248110592,39739392,43320393728,2397597,0,798808,0,0,0,0,0,0,0,0,4628,0,0,0.0,89.0,0.0,90.0
19144,4550664,13252304896,39739392,43337170944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19145,3797342,13252304896,39739392,43337170944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19146,2898415,13252304896,39739392,43337170944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19147,6374184,13257281536,39739392,43353948160,2490701,0,787507,0,0,0,0,0,0,0,0,4238,0,0,0.0,89.0,0.0,90.0
19148,3600071,13257281536,39739392,43353948160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19149,3790679,13261475840,39739392,43370725376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19150,2332143,13261475840,39735296,43370721280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19151,6358354,13271150592,39735296,43404275712,2506330,0,788719,0,0,0,0,0,0,0,0,4920,0,0,0.0,89.0,0.0,90.0
19152,3824733,13275611136,39739392,43421057024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19153,1348800,13275611136,39739392,43421057024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19154,3803803,13275611136,39739392,43421057024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19155,3078623,13275611136,39739392,43421057024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19156,6354738,13284515840,39739392,43454611456,2497604,0,790884,0,0,0,0,0,0,0,0,5150,0,0,0.0,89.0,0.0,90.0
19157,3490415,13289205760,39739392,43471388672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19158,1406818,13289205760,39739392,43471388672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19159,3872523,13289205760,39739392,43471388672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19160,4926379,13289205760,39739392,43471388672,2474050,0,800882,0,0,0,0,0,0,0,0,5200,0,0,0.0,89.0,0.0,90.0
19161,4390474,13294186496,39739392,43488165888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19162,2912121,13298638848,39739392,43504943104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19163,1291562,13298638848,39739392,43504943104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19164,3907778,13298638848,39739392,43504943104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19165,5611423,13298647040,39735296,43504939008,2489929,0,813085,0,0,0,0,0,0,0,0,5360,0,0,0.0,89.0,0.0,90.0
19166,4327877,13299171328,39735296,43504939008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19167,3244305,13299421184,39739392,43504943104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19168,3904392,13299421184,39739392,43504943104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19169,5405657,13299421184,39739392,43504943104,2527600,0,803687,0,0,0,0,0,0,0,0,5090,0,0,0.0,89.0,0.0,90.0
19170,4264027,13304647680,39739392,43521720320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19171,2916099,13304913920,39739392,43521720320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
19172,1295539,13304913920,39739392,43521720320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,90.0
