Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
22195,10839499,39741902848,51482624,81877794816,6193445,0,1348749,0,0,0,0,0,0,0,0,4228,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22196,3208878,39753986048,51482624,81894572032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22197,11353372,39761879040,51482624,81911349248,6853403,0,1338680,0,0,0,0,0,0,0,0,4087,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22198,3633063,39766597632,51482624,81928126464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22199,1448377,39770791936,51478528,81944899584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22200,7742701,39771332608,51478528,81944899584,3778015,0,1341175,0,0,0,0,0,0,0,0,3957,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22201,4950674,39780507648,51478528,81978454016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22202,4189607,39780741120,51478528,81978454016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22203,6799322,39780741120,51478528,81978454016,4055296,0,1410044,0,0,0,0,0,0,0,0,5571,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22204,5173021,39785476096,51478528,81995231232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22205,3247210,39790198784,51478528,82012008448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22206,9087613,39794913280,51478528,82045562880,3394576,0,1348008,0,0,0,0,0,0,0,0,4158,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22207,4436260,39803559936,51478528,82045562880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22208,1780850,39803559936,51478528,82045562880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22209,3710008,39803559936,51478528,82045562880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22210,6199165,39803559936,51478528,82045562880,3581056,0,1343520,0,0,0,0,0,0,0,0,3897,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22211,4458261,39808532480,51478528,82062340096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22212,5360774,39812726784,51478528,82079117312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22213,8327217,39817945088,51478528,82095894528,3262959,0,1352657,0,0,0,0,0,0,0,0,3778,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22214,5872563,39822946304,51482624,82112675840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
22215,4082306,39822946304,51482624,82112675840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304.0,4464.0,0.0,89.0,0.0,160.0
