Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
60;210936;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;312906;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;219171;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;212108;493805568;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;215534;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;209213;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;233217;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;235772;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;207138;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;219041;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;227436;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;223309;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;210565;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;225462;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;237887;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;214492;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;217438;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;221335;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;233097;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;219431;494592000;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;212298;495386624;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;206958;495386624;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;224120;495386624;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;220974;495386624;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;1021014;495386624;8118272;429268992;776767;0;0;0;0;0;0;0;0;0;0;1593;0;0;0;0;0;0;0;0;
85;222227;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;216005;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;226635;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;229330;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;1506134;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;250099;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;227667;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;219742;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;211767;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;212459;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;230262;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;215424;495747072;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;209313;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;311083;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;223139;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;206538;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;207018;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;235822;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;223689;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;202310;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;218350;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;220474;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;248145;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;229280;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;233247;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;231263;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;237646;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;228779;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;227447;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;227948;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;249698;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;234169;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;234921;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;237155;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;252683;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;242775;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
121;236623;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
122;249218;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
123;240080;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
124;240201;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
125;230532;496246784;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
126;234320;496517120;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
127;243708;496517120;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
128;235061;496517120;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
129;245861;496517120;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
130;246692;496517120;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
131;245060;496517120;8118272;429268992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
132;262853;496517120;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
133;243998;496517120;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
134;315141;496517120;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
135;250800;496517120;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
136;232926;496517120;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
137;240010;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
138;251942;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
139;243096;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140;1206483;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
141;904537;496787456;10846208;431996928;634200;0;0;0;0;0;0;0;0;0;0;1763;0;0;0;0;0;0;0;0;
142;240131;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
143;234420;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
144;231254;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
145;228799;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
146;235050;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
147;244048;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
148;224992;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
149;221515;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150;221385;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151;216266;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
152;210945;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
153;214623;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
154;209724;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
155;213180;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
156;213280;496787456;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
157;211086;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;214192;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;219873;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160;244248;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
161;2533532;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
162;216637;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
163;212208;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
164;203101;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
165;197951;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
166;199324;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
167;215765;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
168;207218;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
169;209573;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170;200045;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
171;223139;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
172;268394;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
173;211777;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
174;210285;497102848;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
175;217077;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
176;220073;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
177;210815;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
178;211937;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
179;212278;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
180;218790;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
181;213560;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
182;211958;497373184;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
183;207459;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
184;213881;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
185;229711;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
186;209443;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
187;210184;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
188;214742;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
189;218620;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190;1041793;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
191;228608;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
192;202109;497643520;10846208;431996928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
