Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
158;212147;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
159;215565;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160;216205;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
161;213199;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
162;212178;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
163;213961;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
164;195827;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
165;208170;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
166;196278;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
167;204494;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
168;197661;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
169;196989;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170;207379;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
171;190677;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
172;208672;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
173;195557;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
174;202239;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
175;203752;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
176;204043;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
177;210915;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
178;2547788;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
179;200276;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
180;194966;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
181;186610;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
182;188754;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
183;181070;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
184;194084;502390784;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
185;210264;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
186;203182;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
187;202230;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
188;202770;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
189;200726;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190;204183;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
191;198853;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
192;198452;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
193;194625;502661120;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
194;194424;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
195;204804;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
196;191339;502931456;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
