Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;PropInputBlocks;PropActiveLogicBlocks;CheckGateState;StatisticsSystem;GhostSimulationSystemGroup;PredictedSimulationSystemGroup;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
72;196629;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;217367;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;203021;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;195958;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;256601;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;213691;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;203622;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;198763;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;193844;496672768;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;194485;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;225243;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;203872;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;196269;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;198653;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;199204;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;222448;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;213741;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;1431505;497471488;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;846437;497795072;8032256;429182976;596699;0;0;0;0;0;0;0;0;0;0;1233;0;0;0;0;0;0;0;0;
91;209733;497795072;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;229741;497795072;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;203572;498294784;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;246602;498294784;8032256;429182976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
