Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
15381,10932222,20046921728,27803648,70714032128,7775592,0,957867,114956,0,0,0,0,0,0,0,4598,0,0,0.0,267.0,0.0,60.0
15382,2827413,20049793024,27803648,70730809344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15383,20533668,20103884800,27803648,70881804288,16283117,0,995587,122179,0,0,0,0,0,0,0,4639,0,0,0.0,267.0,0.0,60.0
15384,18609600,20158644224,27803648,71049576448,13649679,0,994515,140644,0,0,0,0,0,0,0,5891,0,0,0.0,267.0,0.0,60.0
15385,14611502,20193935360,27799552,71183790080,9838921,0,995006,97703,0,0,0,0,0,0,0,5360,0,0,0.0,267.0,0.0,60.0
15386,15174327,20236812288,27799552,71318007808,10348457,0,964770,98575,0,0,0,0,0,0,0,4439,0,0,0.0,267.0,0.0,60.0
15387,14725757,20273836032,27799552,71435448320,9803215,0,948138,107792,0,0,0,0,0,0,0,4709,0,0,0.0,267.0,0.0,60.0
15388,24612778,20316409856,27799552,71569666048,21609225,0,959840,110777,0,0,0,0,0,0,0,3907,0,0,0.0,267.0,0.0,60.0
15389,31906217,20359274496,27799552,71653552128,27578620,0,946094,110828,0,0,0,0,0,0,0,5090,0,0,0.0,267.0,0.0,60.0
15390,15302397,20384784384,27799552,71737438208,10807138,0,1881989,154539,0,0,0,0,0,0,0,7513,0,0,0.0,267.0,0.0,60.0
15391,12399583,20412198912,27799552,71838101504,9188672,0,691497,71364,0,0,0,0,0,0,0,4699,0,0,0.0,267.0,0.0,60.0
15392,20663051,20437639168,27799552,71921987584,16059799,0,750156,89247,0,0,0,0,0,0,0,18164,0,0,0.0,267.0,0.0,60.0
15393,13162023,20465152000,27799552,72022650880,8776169,0,677681,68759,0,0,0,0,0,0,0,4518,0,0,0.0,267.0,0.0,60.0
15394,26125165,20494843904,27799552,72123314176,22873557,0,727183,69060,0,0,0,0,0,0,0,4288,0,0,0.0,267.0,0.0,60.0
15395,16142123,20534161408,27799552,72257531904,11645059,0,676229,73418,0,0,0,0,0,0,0,4548,0,0,0.0,267.0,0.0,60.0
15396,23188227,20543741952,27799552,72274309120,18195704,0,674856,74149,0,0,0,0,0,0,0,4067,0,0,0.0,267.0,0.0,60.0
